"filename", "language", "JSON", "TypeScript", "Markdown", "JSON with Comments", "JavaScript", "XML", "Properties", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(homePage)\page\server-reference-manifest.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(homePage)\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\chat\[id]\page.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\chat\[id]\page\app-build-manifest.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\chat\[id]\page\app-paths-manifest.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\chat\[id]\page\build-manifest.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\chat\[id]\page\next-font-manifest.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\chat\[id]\page\react-loadable-manifest.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\chat\[id]\page\server-reference-manifest.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Bruce Vo\Documents\project\linguex\Streaming_Platform\frontend\.next\server\app\(protected)\(DashBoard)\chat\[id]\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
